Norwich - NorwichSD,199245
Norwich - Queen's HillsSD,6053
Norwich - TaverhamSD,15428
Norwich - Thorpe EndSD,1198
Norwich - Trowse NewtonSD,841
Oakington,1453
Oakley (Bedford),2423
Occold,527
Offord D'Arcy,1361
Old Buckenham,812
Old Newton,864
Oldhill Wood,120
Onehouse,874
Orford,571
Ormesby St Margaret,2660
Orsett,1186
Orwell,1071
Orwell Meadows Caravan Site,444
Otley,683
Over,2842
Overstrand,981
Pakenham,619
Panfield,859
Papworth Everard,3699
Parson Drove,737
Paslow Wood Common,319
Patmore Heath,316
Pavenham,520
Peasenhall,507
Peldon,550
Perry Green,479
Peterborough - FarcetSD,1617
Peterborough - PeterboroughSD,179349
Pirton,1339
Podington,374
Point Clear,1648
Poringland,7023
Postwick,380
Potter Heigham,842
Potters Bar,23325
Potton,5472
Preston (North Hertfordshire),449
Prickwillow,388
Puckeridge,3738
Pudsey Hall Lane, nr Rochford,513
Pulham Market,810
Pulham St Mary,800
Pulloxhill,628
Purleigh,581
RAF Wyton,1529
Rackheath,1695
Rackheath Industrial Estate,413
Rackheath/Salhouse,386
Radlett,8041
Rampton (South Cambridgeshire),395
Ramsey (Huntingdonshire),7815
Ramsey Forty Foot,548
Ramsey Island,1570
Ramsey Mereside,674
Ramsey St Mary's,891
Rattlesden,315
Rawreth,362
Raydon,246
Reach,340
Red Lodge,5952
Redbourn,5112
Redgrave,387
Reed,325
Reedham,1192
Reepham,2337
Rendlesham,3262
Rettendon,734
Rickinghall,2264
Rickling Green,674
Ridgewell,566
Ridgmont,435
Risby,864
Riseley,1293
Robertson Barracks,405
Rockland All Saints,353
Rockland St Mary,834
Rollesby,640
Roughton,618
Roxton,356
Roxwell,412
Royal Hospital School,583
Roydon,1556
Royston,17113
Runcton Holme,627
Saffron Walden,17316
Salhouse,993
Salthouse,155
Sandy - Beeston (Central Bedfordshire)SD,786
Sandy - SandySD,11818
Sarratt,900
Sawston,7407
Sawtry,5746
Saxlingham Nethergate,732
Saxmundham - Carlton (Suffolk Coastal)SD,593
Saxmundham - SaxmundhamSD,4723
Saxtead Green,363
Scole,1059
Sculthorpe,275
Sea Palling,422
Sedgeford,590
Seething,387
Sewards End,549
Sewardstone,1113
Sharnbrook,1665
Sharpstone Street,575
Sheering,873
Shefford - CamptonSD,302
Shefford - Clifton (Central Bedfordshire)SD,2689
Shefford - HenlowSD,2528
Shefford - SheffordSD,7243
Shelfanger,393
Shenley,4250
Shepreth,614
Sheringham - Beeston RegisSD,790
Sheringham - SheringhamSD,7379
Shillington,1710
Shimpling Street,435
Shipdham,2004
Shortstown,2333
Shotley,881
Shotley Gate,1461
Shouldham,599
Shropham,458
Shudy Camps,331
Sible Hedingham,4407
Sicklesmere,888
Silsoe,3176
Silver End,3921
Slip End,1425
Snape (Suffolk Coastal),305
Snettisham,2608
Soham - Down FieldSD,647
Soham - SohamSD,10459
Somersham (Huntingdonshire),3401
Somersham (Mid Suffolk),672
South Creake,549
South Grove,251
South Mimms,912
South Ockendon,22469
South Walsham,409
South Woodham Ferrers,15840
Southend-on-Sea - AshingdonSD,371
Southend-on-Sea - HullbridgeSD,6114
Southend-on-Sea - RayleighSD,99475
Southend-on-Sea - RochfordSD,18834
Southend-on-Sea - Southend-on-SeaSD,184708
Southery,1190
Southfields,1050
Southminster,4419
Southrepps,609
Southwold - ReydonSD,2748
Southwold - SouthwoldSD,975
Spaldwick,647
Spellbrook,347
Spixworth,3512
Sporle,836
Sproughton,797
St Ives (Huntingdonshire) - Hemingford GreySD,3654
St Ives (Huntingdonshire) - St IvesSD,17022
St James South Elmham,231
St Neots - St NeotsSD,32489
St Neots - WybostonSD,592
St Olaves,249
St Osyth,2166
Stagsden,328
Stalham,4483
Stamford - WothorpeSD,321
Stanbridge - StanbridgeSD,637
Stanbridge - TilsworthSD,382
Stanford-le-Hope,28849
Stanhoe,246
Stansted Mountfitchet,8873
Stanton (St. Edmundsbury),2194
Stebbing,1015
Steeple,543
Steeple Bumpstead,1346
Steeple Morden,902
Stevenage - AstonSD,550
Stevenage - StevenageSD,94371
Stevington,555
Stewartby,1954
Stilton,2359
Stoke Ferry - Stoke FerrySD,1147
Stoke Ferry - WrettonSD,348
Stoke Holy Cross,1229
Stoke-by-Clare,496
Stoke-by-Nayland,384
Stonebridge,238
Stonely,341
Stonham Aspal,311
Stotfold,8572
Stow cum Quy,510
Stowbridge,383
Stowmarket - StowmarketSD,22114
Stowmarket - StowuplandSD,1989
Stradbroke,1223
Stratford St Mary,808
Streatley,614
Stretham,2037
Studham,558
Stuston,209
Stutton,604
Sudbury,23835
Surlingham,578
Sutton (East Cambridgeshire),3837
Sutton Common,1405
Swaffham,8333
Swaffham Bulbeck - Commercial EndSD,487
Swaffham Bulbeck - Swaffham BulbeckSD,280
Swaffham Prior,981
Swanton Abbott,533
Swanton Morley,893
Swardeston,705
Swavesey,2615
Takeley,5256
Takeley Street,560
Tasburgh,871
Tebworth,452
Tempsford,579
Terrington St Clement,3467
Tewin,984
Thaxted,3239
Therfield,304
Thetford,27489
Theydon Bois,3847
Thompson,326
Thorndon,717
Thorney,1913
Thornham,432
Thornwood Common,1072
Thorpe-le-Soken,1470
Thorpeness,186
Thorrington (East),876
Thorrington (West),445
Threehammer Common,561
Thriplow,441
Thundridge,731
Thurleigh,705
Thurlton,1126
Thurston,3097
Thurton,889
Tilbrook,356
Tillingham,987
Tilney St Lawrence,1358
Tiptree,9308
Tivetshall St Margaret,316
Toddington,4647
Toft,514
Tollesbury,2855
Tolleshunt D'Arcy,886
Tolleshunt Knights,1087
Tolleshunt Major,435
Totternhoe,1008
Trimingham,454
Tring,12323
Troston,397
Trunch,924
Tuddenham,393
Tuddenham St Martin,354
Tunstall,279
Turvey,904
Tydd St Giles,729
Ufford (City of Peterborough),268
Ufford (Suffolk Coastal),607
University of Essex,4600
Upper Caldecote,1252
Upper Dean,427
Upper Gravenhurst,579
Upton (Broadland),716
Upwell,4527
Upwood,405
Wacton,388
Walberswick,352
Waldringfield,462
Walkern,1559
Walpole Cross Keys,550
Walpole Highway,719
Walpole St Peter,1506
Walsham Le Willows,1295
Walton-on-the-Naze - Frinton-on-SeaSD,4754
Walton-on-the-Naze - Great HollandSD,797
Walton-on-the-Naze - Walton-on-the-NazeSD,12575
Wangford,462
Wansford,554
Warboys,3858
Waresley,272
Washbrook,537
Waterbeach - LandbeachSD,586
Waterbeach - WaterbeachSD,5588
Waterford,279
Watlington (King's Lynn and West Norfolk),2514
Wattisfield,509
Wattisham Airfield,2049
Watton - Saham ToneySD,1588
Watton - WattonSD,10180
Watton at Stone,2732
Weeting,1955
Wells-next-the-Sea,2245
Welney,544
Welwyn Garden City - OaklandsSD,8077
Welwyn Garden City - StanboroughSD,320
Welwyn Garden City - WelwynSD,4109
Welwyn Garden City - Welwyn Garden CitySD,51248
Wendens Ambo,461
Wenhaston,568
Wereham,713
West Bergholt,3206
West Hanningfield,415
West Horndon,1661
West Mersea,7069
West Perry,625
West Runton,791
West Walton - Walton HighwaySD,1046
West Walton - West WaltonSD,664
West Winch,2696
West Wratting,476
Westerfield,497
Westleton,338
Weston (North Hertfordshire),897
Westoning,2093
Wetherden,603
Wetheringsett,370
Wethersfield Airfield,456
Wethersfield,737
Weybourne,524
Wheathampstead,4367
Whipsnade,276
Whissonsett,478
Whittlesey,13490
Whittlesford,1544
Whitwell (North Hertfordshire),992
Wicken (East Cambridgeshire),768
Wicken Bonhunt,268
Wicken Green Village,809
Wickham Bishops,3893
Wickham Market,2314
Wickham Skeith,325
Wickham St Paul,287
Wickhambrook,594
Wicklewood,755
Widdington,454
Widford,633
Wiggenhall St Germans,775
Wiggenhall St Mary Magdalen,703
Wigginton,816
Wighton,204
Wilburton,1070
Willingham,4116
Willington (Bedford),796
Wilstead,2258
Wimblington,4522
Wimbotsham,713
Winfarthing,493
Wisbech - LeveringtonSD,1022
Wisbech - WisbechSD,34837
Wisbech St Mary,954
Wistow (Huntingdonshire),530
Witcham,418
Witchford,2229
Witham,27013
Witnesham,351
Wittering Airfield,2793
